mytype,material,link,value
g,bột mì,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,100
quả,trứng gà,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,2
g,bột xù,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,150
,Vừng trắng,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Tiêu,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Dầu ăn,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
,Xốt mayonnaise,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,
kg,Thịt ba rọi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,"0,5"
g,Rau má,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,400
củ,cà rốt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,2
củ,Cải trắng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,1
g,Bún tươi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,200
nước,Dừa tươi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Tương hạt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Hành,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Bơ đậu phộng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Đậu phộng hạt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Xương ống và Tủy,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
nước,Tương,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Tỏi,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,Ớt,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,mắm,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
,bánh tráng,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,
quả,trứng cút,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,10
củ,Hành tây,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,1/4
tai,Nấm mèo,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,4
quả,Ớt chuông đỏ,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,1/4
g,bắp non,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,100
trái,cà chua,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,1
,Hành lá,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Răm răm,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Hành tím,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Đường,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Tiêu,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Tương ớt,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Dầu hào,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Dầu ăn,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Giấm gạo,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
,Bột chiên gà giòn,http://www.amthuc365.vn/cong-thuc/3392-trung-cut-xao-chua-ngot.html,
g,thăn Lợn,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,300
g,giò sống,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,100
g,Cà rốt,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,150
g,Khoai tây,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,100
lít,Sữa dừa,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,1/2
thìa,Súp hạt nêm,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,1
thìa cà phê,Đường,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,1/2
thìa súp,Dầu ăn,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,1
cây,Hành lá,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,1
con,tôm sú,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,15
g,thịt lợn,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,300
g,thịt nạc vai,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
g,rau xà lách,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
tệp,bánh nem,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
ml,giấm bỗng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,200
quả,dưa chuột,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1-2
g,lá hẹ,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,30
g,bún,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,100
củ,hành khô,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,3
nắm,ngò rí,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
nắm,húng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
Phần,nước chấm:,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,*
thìa canh,dầu ăn,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,tỏi,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,tương hosin,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,5
thìa canh,nước luộc thịt,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,5
thìa canh,bơ đậu phộng,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
thìa canh,đường,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,1
,Dưa chuột,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Trứng,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Cà rốt,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
lá,Rong biển,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Cơm,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
,Xúc xích,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,
gr,Tôm sú,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,200
trái,Xoài,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,1
muỗng canh,Xốt mayonnaise,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,1
,Hạt nêm,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,
trái,Táo,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
g,Thịt heo,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,200
muỗng,Súp mật ong,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
muỗng,Súp nước tương,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,1
muỗng,Súp rượu nho trắng,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,3
,Tiêu,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,
,Bột bắp,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,
,Dầu olive,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,
bó,Măng tây,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,1
g,Bò thăn,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,500
thìa cà phê,Dầu hào,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,2
thìa cà phê,Bột năng,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,2
bát con,Dầu ăn,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,1
,Mắm,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,
g,Thịt,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,300
g,Bắp,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,80
trái,Dưa leo,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,1
trái,Ớt Đà Lạt,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,1
bông,Hẹ,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,10
g,Thịt,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,100
,Tôm khô,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,
,Mộc nhĩ,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,
cốc,Bột nếp,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,2
nhánh,Hành tươi,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,"2,3"
g,Phi-lê cá bớp,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,200
g,Rau xà lách,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,50
